skills,qualification,experience_years,education_level,language,certification,soft_skills,job_role,source
"aws, node.js, typescript",Senior Backend Developer at IO Associates,4,Unknown,English,AWS Cloud Practitioner,"Communication, Problem Solving",Backend Developer,adzuna_api
"API Testing, Manual Testing, Feature Engineering, Bug Reporting, Responsive Design, iOS, Selenium, Git, Postman",QA internship,2,College,Kazakh,Kubernetes Basics,"Critical Thinking, Problem Solving",QA Engineer,current_custom_dataset
"Linux, Kubernetes, SQL, Statistics, Docker, Pandas, AWS, ML Pipelines, Feature Engineering, Cloud project",AI course,3,College,Russian,Cisco CCNA,"Problem Solving, Communication, Creativity",Machine Learning Engineer,current_custom_dataset
"Git, Power BI, Redis, Spring Boot, PostgreSQL, CI/CD, Terraform, Docker, Dart",Web development project,5,Bachelor,German,Kubernetes Basics,"Leadership, Communication",Backend Developer,current_custom_dataset
"Business reporting, Excel, React, Jupyter, SQL, NumPy, Pandas, State Management, Scikit-learn, Machine Learning",Business reporting,2,College,Kazakh,ISTQB Foundation,"Teamwork, Self Learning, Adaptability, Communication",Data Analyst,current_custom_dataset
"Hibernate, Machine Learning, React, Testing, Microservices, AWS, Nginx, Docker, Spring Boot, Postman, Redis",Backend internship,0,College,German,Google Data Analytics,"Adaptability, Time Management, Communication",Backend Developer,current_custom_dataset
"Python, LLM, RAG, NLP, PyTorch, Hugging Face, LangChain, Vector Databases, Prompt Engineering, Deep Learning",AI Engineer / LLM Engineer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Adaptability, Communication",Machine Learning Engineer,current_custom_dataset
"Scikit-learn, TensorFlow, API development, NumPy, Wireshark, Model Evaluation",Machine learning projects,1,Master,Kazakh,Google Data Analytics,"Attention to Detail, Leadership",Machine Learning Engineer,current_custom_dataset
"Postman, Tailwind CSS, Test Cases, SQL, CI/CD, Automation Testing, Manual Testing, Mobile Testing, Cryptography",QA internship,2,Bachelor,Russian,Oracle Java,"Critical Thinking, Leadership, Communication, Self Learning",QA Engineer,current_custom_dataset
"Node.js, TypeScript, REST API, PostgreSQL, Redis, RabbitMQ, Microservices, Git",Backend Developer,3,Bachelor,English,none,"Problem Solving, Communication, Teamwork, Analytical Thinking",Backend Developer,current_custom_dataset
"SQL, Python (pandas, numpy), Data Analysis, A/B Testing, Statistics, Big Data, Customer Segmentation, Product Analytics, Git, Jira",Data Analyst,2,Bachelor,Russian,,"Analytical Thinking, Problem Solving, Adaptability, Communication, Attention to Detail",Data Analyst,current_custom_dataset
"Firebase, UI Design, iOS, Pandas, Flutter, ML Pipelines, Dart",Computer Science degree,4,Bootcamp,Turkish,Cisco CCNA,"Critical Thinking, Attention to Detail, Creativity",Mobile Developer,current_custom_dataset
"Pandas, Firebase, Cloud project, Python, Feature Engineering, Data Cleaning, Docker, SQL",Research project,4,Master,Russian,TensorFlow Developer,"Self Learning, Time Management, Teamwork, Leadership",Machine Learning Engineer,current_custom_dataset
machine learning,Machine Learning - Engineer - London at Michael Page Technology,2,Unknown,English,,"Teamwork, Attention to Detail",Machine Learning Engineer,adzuna_api
"React, Vite, Node.js, Selenium, Postman, API Testing, Power BI, Responsive Design",Frontend internship,0,Bachelor,Russian,Kubernetes Basics,"Creativity, Attention to Detail",Frontend Developer,current_custom_dataset
"React, Postman, Git, Networking, Figma, Node.js, Tailwind CSS, CSS",UI implementation,1,Bachelor,Kazakh,AWS Cloud Practitioner,"Leadership, Attention to Detail, Teamwork, Creativity",Frontend Developer,current_custom_dataset
"React Native, JavaScript, React, GraphQL, REST API, WebSockets, Git, Mobile Development, TypeScript, UI Development",Middle Frontend Developer (React Native),2,Unknown,Russian,,"Teamwork, Problem Solving, Attention to Detail, Adaptability",Frontend Developer,current_custom_dataset
"Python, Flask, PostgreSQL, SQL, REST API, Git, OOP, Web Development, MS SQL, Backend Development",Python Developer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",Backend Developer,current_custom_dataset
Unknown,Head of Backend Development at Black Tree Gaming Limited,1,Unknown,English,,"Communication, Problem Solving",Backend Developer,adzuna_api
"Golang, PHP, PostgreSQL, Redis, REST API, Kafka, RabbitMQ, Microservices, Docker, Git",Senior Backend Developer (Go + PHP),4,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Communication",Backend Developer,current_custom_dataset
"Node.js, Terraform, Tableau, Kubernetes, Linux, Redis, Monitoring, CCNA",Network administration,2,Bootcamp,German,Cisco CCNA,"Critical Thinking, Teamwork, Problem Solving",DevOps Engineer,current_custom_dataset
"Linux, PostgreSQL, AWS, Terraform, Dart",Network administration,4,Bootcamp,Russian,Meta Frontend,"Self Learning, Leadership",DevOps Engineer,current_custom_dataset
"Firebase, JavaScript, REST API, Java, Android, Flutter, Hibernate, API development",Mobile app project,4,Master,Russian,Meta Frontend,"Self Learning, Creativity",Mobile Developer,current_custom_dataset
"Kubernetes, Docker, CI/CD, Jenkins, GitLab CI, ArgoCD, Terraform, Ansible, Helm, Linux, Prometheus, Grafana, ELK, Zabbix, Python, Bash, Git, Cloud (AWS/GCP/Azure/Yandex), Databases (PostgreSQL, MongoDB, Redis)",DevOps Engineer,4,Bachelor,Russian,,"Problem Solving, Responsibility, Communication, Analytical Thinking",DevOps Engineer,current_custom_dataset
"Java, TypeScript, Bash, CI/CD, Redis, Nginx, System administration, Dart",Linux administration,3,Bachelor,Turkish,Meta Frontend,"Problem Solving, Communication",DevOps Engineer,current_custom_dataset
"SQL, Nginx, Business reporting, Git, Postman",API development,1,Bootcamp,Russian,TensorFlow Developer,"Problem Solving, Teamwork, Communication",Backend Developer,current_custom_dataset
"SQL, Python, Product Analytics, Funnel Analysis, Customer Journey Mapping, Conversion Optimization, BI Tools, A/B Testing, Data Analysis, CRM, Airflow",Data Analyst,6,Bachelor,English,,"Ownership, Strategic Thinking, Problem Solving, Communication, Decision Making",Data Analyst,current_custom_dataset
"Android, iOS, Pandas, API development, SQLite, Flutter, Mobile UI",Firebase project,4,Bachelor,Russian,Kubernetes Basics,"Teamwork, Self Learning",Mobile Developer,current_custom_dataset
"Machine Learning, Testing, Business reporting, Tableau, Jupyter, REST API, SQL, Dashboards, Statistics",Excel certification,0,Master,Turkish,Google Data Analytics,"Adaptability, Communication, Self Learning",Data Analyst,current_custom_dataset
"Business reporting, Terraform, Data Cleaning, Machine Learning, Visualization, Scikit-learn, Bash, Python, Excel",Research project,1,Bachelor,German,Kubernetes Basics,"Problem Solving, Teamwork",Data Analyst,current_custom_dataset
"Dashboards, Python, SQL, Microservices, CI/CD, React, CCNA, Git, Machine Learning",API development,5,Bootcamp,English,Oracle Java,"Adaptability, Communication, Creativity",Backend Developer,current_custom_dataset
"Android, API development, State Management, Scikit-learn, Mobile UI, REST API",Firebase project,3,Bachelor,German,,"Problem Solving, Time Management",Mobile Developer,current_custom_dataset
Unknown,Frontend Developer at Understanding Solutions,2,Unknown,English,,Teamwork,Frontend Developer,adzuna_api
"Cryptography, CCNA, Linux, Docker, Networking, Risk Assessment, Firewalls, Bash, Kubernetes, REST API",Linux administration,1,Bachelor,German,Kubernetes Basics,"Critical Thinking, Creativity, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
"Vue.js, JavaScript, TypeScript, HTML, CSS, REST API, Axios, Git, Webpack, Vite",Front-end Developer,4,Unknown,Russian,,"Communication, Teamwork, Time Management, Attention to Detail",Frontend Developer,current_custom_dataset
"Testing, Node.js, Regression Testing, Dashboards, HTML, Firebase, Vite, TypeScript, Kubernetes, Postman",Portfolio projects,2,Bachelor,Kazakh,Cisco CCNA,"Attention to Detail, Problem Solving, Time Management, Adaptability",Frontend Developer,current_custom_dataset
"Incident Response, Data Cleaning, Security Monitoring, Cryptography, Docker, Networking, Monitoring, Risk Assessment, Regression Testing",Network administration,0,Master,English,Meta Frontend,"Leadership, Critical Thinking, Self Learning",Cybersecurity Analyst,current_custom_dataset
"API development, State Management, Postman, Kotlin, Dart",Computer Science degree,1,Bachelor,German,,"Time Management, Problem Solving, Teamwork",Mobile Developer,current_custom_dataset
"CI/CD, UI Design, Nginx, Docker, API Testing, Cryptography, Python",Linux administration,2,Bachelor,Russian,Oracle Java,"Problem Solving, Time Management",DevOps Engineer,current_custom_dataset
"Redis, PostgreSQL, Hibernate, Linux, CCNA, Git",Web development project,2,College,Russian,ISTQB Foundation,"Time Management, Creativity",Backend Developer,current_custom_dataset
"Model Evaluation, Jupyter, Data Cleaning, Python, Linux, CSS, API development, ML Pipelines, Docker, Feature Engineering",AI course,3,College,Kazakh,ISTQB Foundation,"Attention to Detail, Creativity",Machine Learning Engineer,current_custom_dataset
"Docker, Kubernetes, CI/CD, Python, Linux, MLflow, Airflow, Terraform, Monitoring, Cloud Computing",MLOps Engineer,2,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Teamwork",DevOps Engineer,current_custom_dataset
Unknown,Mobile Developer at External,2,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
"SQL, PL/SQL, Data Warehousing, Data Analysis, Data Governance, Data Modeling, Requirements Analysis, DWH, Data Catalog",Data Analyst,3,Bachelor,Russian,,"Analytical Thinking, Communication, Stakeholder Management, Attention to Detail",Data Analyst,current_custom_dataset
excel,Trainee Data Analyst - job guarantee at Newto Training,1,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"AWS, Terraform, SQL, Postman, Kubernetes, PostgreSQL, Monitoring, Networking, Hibernate",Deployment experience,2,Bachelor,Russian,Meta Frontend,"Teamwork, Problem Solving, Time Management, Creativity",DevOps Engineer,current_custom_dataset
"Model Evaluation, Feature Engineering, SQL, Scikit-learn, Statistics, Excel",Machine learning projects,1,Bachelor,Russian,Google Data Analytics,"Leadership, Attention to Detail, Teamwork, Time Management",Machine Learning Engineer,current_custom_dataset
"Jupyter, Tableau, Node.js, Power BI, Android, Scikit-learn, SQL, Data Cleaning, Visualization, A/B Testing, Hibernate",Business reporting,2,Bootcamp,English,ISTQB Foundation,"Teamwork, Self Learning, Adaptability",Data Analyst,current_custom_dataset
"React, JavaScript, TypeScript, HTML, CSS, Webpack, Vite, CI/CD, Performance Optimization, Git",Frontend Developer (Middle),4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Self Learning",Frontend Developer,current_custom_dataset
"PostgreSQL, Postman, Python, React, Regression Testing, Spring Boot",API development,0,Bachelor,Turkish,AWS Cloud Practitioner,"Leadership, Teamwork, Communication, Problem Solving",Backend Developer,current_custom_dataset
machine learning,Machine Learning Engineer at ShopQuick ,2,Unknown,English,,Teamwork,Machine Learning Engineer,adzuna_api
"Node.js, JavaScript, TypeScript, GraphQL, REST API, WebSockets, MongoDB, PostgreSQL, Git, Docker",Middle Backend Developer (NodeJS),4,Unknown,Russian,AWS ,"Teamwork, Problem Solving, Analytical Thinking",Backend Developer,current_custom_dataset
machine learning,Machine Learning Engineer at Krotos,2,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Python, Machine Learning, Recommendation Systems, ALS, ANN, SQL, ClickHouse, FastAPI, Kafka, Airflow",ML Engineer,4,Unknown,Russian,none,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",Machine Learning Engineer,current_custom_dataset
"Python, Test Automation, Pytest, Playwright, TypeScript, CI/CD, Docker, SQL",Senior Automation QA Engineer,4,Unknown,Russian,,"Leadership, Communication, Problem Solving, Analytical Thinking",QA Engineer,current_custom_dataset
"css, git, html, javascript, node.js",Frontend Developer at Jobvance,2,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
"Manual Testing, Monitoring, Cloud security, Tableau, Bash, Networking, Linux",Cloud project,4,College,Turkish,Oracle Java,"Adaptability, Attention to Detail",DevOps Engineer,current_custom_dataset
machine learning,Machine Learning Engineer at Harnham - Data & Analytics Recruitment,4,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Python, SQL, Data Analysis, Statistics, A/B Testing, Machine Learning, Data Modeling, Big Data (Hadoop, Spark), BI Tools (Qlik, Tableau, Power BI), Airflow, MLflow, REST API",Senior Data Analyst,3,Bachelor,Russian,,"Analytical Thinking, Problem Solving, Communication, Critical Thinking",Data Analyst,current_custom_dataset
"Golang, PostgreSQL, Kafka, REST API, gRPC, Redis, Docker, Kubernetes, Git, CI/CD",Go Developer,2,Unknown,English,AWS,"Leadership, Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
"C# (.NET), C++, PostgreSQL, REST API, gRPC, Microservices, Docker, Kubernetes, JWT, OAuth2, CI/CD, Git",Backend Developer,2,Bachelor,English,,"Problem Solving, Analytical Thinking, Teamwork, Attention to Detail",Backend Developer,current_custom_dataset
"Vite, Firewalls, Tailwind CSS, Data Cleaning, Monitoring, Git, React",Web development,3,Bachelor,Russian,ISTQB Foundation,"Problem Solving, Self Learning, Critical Thinking, Attention to Detail",Frontend Developer,current_custom_dataset
"PostgreSQL, ML Pipelines, Selenium, Docker, TensorFlow, Kotlin, Scikit-learn",Research project,3,College,Russian,Google Data Analytics,"Problem Solving, Creativity, Teamwork, Time Management",Machine Learning Engineer,current_custom_dataset
"Selenium, Manual Testing, Firewalls, Automation Testing, Java, Mobile Testing, Spring Boot, Postman, SIEM",Security course,0,Certification,German,,"Creativity, Time Management",QA Engineer,current_custom_dataset
"machine learning, monitoring",Machine Learning Engineer at Lorien,4,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Git, Model Evaluation, Incident Response, Testing, React, UI Design, TypeScript",Linux administration,0,College,Russian,Meta Frontend,"Teamwork, Time Management",Frontend Developer,current_custom_dataset
"Python, MLOps, MLflow, AWS, Kubernetes, Docker, CI/CD, Terraform, Data Pipelines, Monitoring",MLOPS Engineer,4,Unknown,English,AWS,"Leadership, Analytical Thinking, Problem Solving, Communication",Machine Learning Engineer,current_custom_dataset
"Docker, Jira, Linux, CI/CD, Microservices, AWS, Spring Boot",Backend internship,0,Bachelor,German,Cisco CCNA,"Creativity, Adaptability",Backend Developer,current_custom_dataset
"Cryptography, SIEM, PostgreSQL, Redis, Terraform, Networking, Cloud security",Security course,3,Bachelor,Russian,TensorFlow Developer,"Creativity, Teamwork, Problem Solving, Time Management",Cybersecurity Analyst,current_custom_dataset
"Docker, Kubernetes, Helm, Git, GitLab CI/CD, Linux, Networking (DNS, HTTP/HTTPS, TCP/IP), Monitoring (Grafana, Zabbix, Loki), CI/CD, DevOps",DevOps Engineer,2,Bachelor,Russian,none,"Problem Solving, Analytical Thinking, Communication, Responsibility",DevOps Engineer,current_custom_dataset
machine learning,Machine Learning Engineer at Information Tech Consultants,5,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Test Cases, Scikit-learn, SQL, Postman, A/B Testing, Selenium, Security Monitoring, Regression Testing",Bug tracking experience,1,Bachelor,German,,"Attention to Detail, Communication, Adaptability",QA Engineer,current_custom_dataset
Unknown,Mobile Application Development Lead at Artis Recruitment,2,Unknown,English,,Teamwork,Mobile Developer,adzuna_api
"cybersecurity, security",ITS Cybersecurity - Sr. Analyst at Deloitte,4,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"cybersecurity, security",Agentic AI Security Engineer at Intec Select Ltd,3,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"Vue 3, Nuxt.js, TypeScript, JavaScript, Vuex/Pinia, Axios, HTML5, CSS3, TailwindCSS, Bootstrap, Webpack/Vite, Git",Middle Frontend Developer,3,Bachelor,English,,"Time Management, Communication, Multitasking, Teamwork",Frontend Developer,current_custom_dataset
"android, cybersecurity, security",Android Mobile Developer at Darktrace,2,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
"Data Cleaning, Feature Engineering, Postman, Model Evaluation, Statistics, NumPy, Jupyter",Web development project,2,Certification,Kazakh,Cisco CCNA,"Leadership, Attention to Detail",Machine Learning Engineer,current_custom_dataset
"qa, security",QA Engineer (Product - Telephony) at Saab UK,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Business reporting, Statistics, Power BI, Visualization, SQL, Pandas, GitHub Actions",Data analysis projects,3,College,Kazakh,AWS Cloud Practitioner,"Teamwork, Self Learning, Time Management",Data Analyst,current_custom_dataset
"Business reporting, Figma, Scikit-learn, Python, Jupyter, NumPy, Android, Responsive Design, Power BI, Tableau",Business reporting,2,Master,Turkish,Kubernetes Basics,"Adaptability, Creativity, Critical Thinking",Data Analyst,current_custom_dataset
"Networking, PostgreSQL, Docker, GitHub Actions, System administration, Monitoring, CCNA, Linux",Deployment experience,0,Bachelor,German,Oracle Java,"Leadership, Attention to Detail",DevOps Engineer,current_custom_dataset
"AWS, Visualization, Machine Learning, State Management, SQL, Tableau, Jupyter, Business reporting",Statistics course,2,College,Kazakh,Cisco CCNA,"Attention to Detail, Self Learning, Critical Thinking",Data Analyst,current_custom_dataset
"api, qa, testing",QA Engineer Insurance Claims system at Hireful,2,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"Vite, A/B Testing, JavaScript, Figma, Testing, Postman, TypeScript, Spring Boot, UI Design",Computer Science degree,3,Bachelor,English,ISTQB Foundation,"Attention to Detail, Communication, Time Management",Frontend Developer,current_custom_dataset
"Golang, gRPC, REST API, PostgreSQL, Kafka, Redis, Docker, Git, CI/CD, Microservices",Backend Go Developer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
"Monitoring, PostgreSQL, System administration, Security Monitoring, Node.js, Terraform, AWS, Bash",Network administration,2,Master,Kazakh,Cisco CCNA,"Problem Solving, Leadership",DevOps Engineer,current_custom_dataset
"React, JavaScript, TypeScript, HTML, CSS, REST API, Git, Unit Testing, Node.js, CI/CD",Frontend Developer (React),4,Unknown,Russian,,"Teamwork, Communication, Problem Solving, Self Learning",Frontend Developer,current_custom_dataset
"cybersecurity, security",Senior Cybersecurity Analyst (SOC) at S-RM,4,Unknown,English,,Problem Solving,Cybersecurity Analyst,adzuna_api
"Bug Reporting, Regression Testing, Web development, Monitoring, Git, Automation Testing",Statistics course,2,Bachelor,German,Kubernetes Basics,"Self Learning, Leadership, Adaptability, Critical Thinking",QA Engineer,current_custom_dataset
"Risk Assessment, Scikit-learn, Feature Engineering, Redis, Data Cleaning, Cloud project, Statistics, Model Evaluation, Python",AI course,2,Bachelor,English,Cisco CCNA,"Critical Thinking, Creativity, Adaptability",Machine Learning Engineer,current_custom_dataset
Unknown,Frontend Developer at Brio Digital,2,Unknown,English,,Teamwork,Frontend Developer,adzuna_api
"Python, Computer Vision, OpenCV, PyTorch, TensorFlow, Machine Learning, Image Processing, Docker, Git, Linux",AI Engineer / Computer Vision,2,unknown,Russian,,"Analytical Thinking, Problem Solving, Attention to Detail, Adaptability",Machine Learning Engineer,current_custom_dataset
ci/cd,DevOps Engineer at Sanderson,2,Unknown,English,,Teamwork,DevOps Engineer,adzuna_api
"Kubernetes, Docker, CI/CD, GitLab CI, GitHub Actions, Linux, Networking (TCP/IP, VPN, DNS), HashiCorp Vault, Kafka, RabbitMQ, PostgreSQL, Helm, Prometheus, Grafana, ELK/Loki, Git",Senior DevOps Engineer,4,Bachelor,Russian,Optional (Kubernetes/AWS/Vault),"Problem Solving, Analytical Thinking, Responsibility, Communication",DevOps Engineer,current_custom_dataset
excel,Trainee Data Analyst at Newto Training,1,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
Unknown,Senior DevOps Engineer at Leidos,4,Unknown,English,,Teamwork,DevOps Engineer,adzuna_api
"Mobile UI, Pandas, Statistics, Python, Feature Engineering, SQL, API development",Kaggle experience,0,Bootcamp,Turkish,Google Data Analytics,"Attention to Detail, Leadership",Machine Learning Engineer,current_custom_dataset
"PostgreSQL, Cryptography, SIEM, Mobile UI, Wireshark, TensorFlow, Security Monitoring",Security course,3,Bootcamp,English,ISTQB Foundation,"Attention to Detail, Communication, Problem Solving, Time Management",Cybersecurity Analyst,current_custom_dataset
"python, sql",Data Analyst at Harnham - Data & Analytics Recruitment,2,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"Machine Learning, Dashboards, Statistics, Python, Firewalls, Pandas, Monitoring, Excel, Business reporting",Statistics course,4,Certification,German,Kubernetes Basics,"Self Learning, Communication, Creativity, Attention to Detail",Data Analyst,current_custom_dataset
"Java, UI Design, REST API, Terraform, Firebase, CCNA, Hibernate, Testing, Flutter, API development, Dart",App portfolio,1,College,German,Oracle Java,"Teamwork, Problem Solving, Leadership",Mobile Developer,current_custom_dataset
machine learning,Principal Machine Learning Engineer at National Highways,1,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Manual Testing, REST API, SQL, Bash, API Testing, Jira",Bug tracking experience,4,College,Russian,Meta Frontend,"Problem Solving, Time Management, Creativity",QA Engineer,current_custom_dataset
"React, TypeScript, JavaScript, Redux, REST API, gRPC, Git, CI/CD, Performance Optimization, UI Development",Senior React Developer,4,Unknown,Russian,,"Leadership, Communication, Analytical Thinking, Problem Solving",Frontend Developer,current_custom_dataset
"Kubernetes, Linux, Terraform, Ansible, CI/CD, Databases, Python, Bash",DevOps Engineer,4,Unknown,Russian,none,"Problem Solving, Analytical Thinking, Responsibility, Communication",DevOps Engineer,current_custom_dataset
"Python, Docker, Cryptography, Feature Engineering, Mobile UI, SQL, Spring Boot",Computer Science degree,3,Bachelor,German,AWS Cloud Practitioner,"Self Learning, Teamwork, Adaptability, Problem Solving",Backend Developer,current_custom_dataset
"Python, FastAPI, Flask, Django, AWS, REST API, Docker, CI/CD, SQL, Data Engineering",Senior Python Developer,7,Unknown,English,AWS ,"Analytical Thinking, Problem Solving, Communication, Self Learning",Backend Developer,current_custom_dataset
"Bash, Automation Testing, Networking, Feature Engineering, Security Monitoring, UI Design, Python",Linux administration,2,Master,English,Kubernetes Basics,"Self Learning, Time Management, Problem Solving",Cybersecurity Analyst,current_custom_dataset
Unknown,Backend Developer at The Portfolio Group,2,Unknown,English,,Teamwork,Backend Developer,adzuna_api
"Nginx, Python, Microservices, Cryptography, CI/CD, Spring Boot, Redis, Linux, Git",Computer Science degree,3,Certification,Kazakh,Cisco CCNA,"Communication, Adaptability",Backend Developer,current_custom_dataset
Unknown,Lead Software Engineer - Mobile Development (Crypto Wallets) - 100% remote at Tether Operations Limited,2,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
"Hibernate, Security Monitoring, Networking, Bash, Risk Assessment",Security course,2,Certification,German,TensorFlow Developer,"Problem Solving, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
Unknown,Data Analyst at Equals One,2,Unknown,English,,Teamwork,Data Analyst,adzuna_api
"Scikit-learn, Wireshark, Cloud project, Node.js, Testing, HTML, React",UI implementation,1,Bachelor,Turkish,,"Critical Thinking, Adaptability",Frontend Developer,current_custom_dataset
"React, Next.js, TypeScript, JavaScript, REST API, WebSockets, JWT, Git, CI/CD, State Management",Front-end Developer,2,Unknown,Russian,,"Teamwork, Communication, Problem Solving, Analytical Thinking",Frontend Developer,current_custom_dataset
"Excel, Kotlin, Pandas, Visualization, Statistics, State Management, Tableau, Dashboards, A/B Testing, Jupyter",Mobile internship,0,College,Turkish,Kubernetes Basics,"Critical Thinking, Communication, Attention to Detail",Data Analyst,current_custom_dataset
"Firewalls, Mobile UI, System administration, Risk Assessment, CCNA, Docker, Linux, SIEM, AWS, A/B Testing, Wireshark",CTF practice,2,Certification,German,ISTQB Foundation,"Communication, Attention to Detail, Adaptability",Cybersecurity Analyst,current_custom_dataset
"SQL, Cryptography, UI Design, TypeScript, Selenium, Postman, Python",Web development,4,Bachelor,Turkish,TensorFlow Developer,"Leadership, Attention to Detail",QA Engineer,current_custom_dataset
"Kotlin, SQLite, Tableau, Java, Networking, API Testing, UI Design, Testing, Mobile UI",Machine learning projects,2,College,German,Oracle Java,"Attention to Detail, Critical Thinking, Creativity",Mobile Developer,current_custom_dataset
"Java, Dart, State Management, Visualization, Data Cleaning, Flutter",Mobile internship,3,Bachelor,Kazakh,Cisco CCNA,"Creativity, Adaptability, Problem Solving",Mobile Developer,current_custom_dataset
"Cloud security, Python, Monitoring, System administration, Firewalls, A/B Testing, Data Cleaning, Security Monitoring, Docker",Statistics course,2,Bachelor,English,AWS Cloud Practitioner,"Critical Thinking, Self Learning",Cybersecurity Analyst,current_custom_dataset
"PostgreSQL, React, Java, AWS, Selenium, Bug Reporting, Jupyter, Hibernate, Nginx",Security course,1,Bachelor,English,Google Data Analytics,"Adaptability, Communication",Backend Developer,current_custom_dataset
excel,Data Analyst - No experience needed at Newto Training,1,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"Kotlin, Java, QA Automation, Appium, Selenium, RestAssured, Postman, API Testing, UI Testing, Git, Jira, Confluence, CI/CD",QA Engineer,2,Bachelor,English,,"Analytical Thinking, Attention to Detail, Communication, Problem Solving",QA Engineer,current_custom_dataset
"Python, Machine Learning, PyTorch, scikit-learn, LLM, RAG, LangChain, SQL, AWS, Data Analysis",Middle Machine Learning Engineer,4,Bachelor,English,AWS,"Analytical Thinking, Problem Solving, Communication, Adaptability",Machine Learning Engineer,current_custom_dataset
"Linux, Business reporting, Redis, Selenium, CI/CD, Microservices, Spring Boot, Docker, TensorFlow",Cloud project,4,Bootcamp,German,Kubernetes Basics,"Adaptability, Self Learning",Backend Developer,current_custom_dataset
"Monitoring, Kubernetes, Nginx, AWS, CI/CD, Cloud project, Cloud security",Deployment experience,1,Bootcamp,German,Google Data Analytics,"Communication, Adaptability, Attention to Detail",DevOps Engineer,current_custom_dataset
"PHP, Laravel, Symfony, MySQL, PostgreSQL, REST API, Git, OOP, MVC, Web Development",PHP Developer,2,Unknown,Russian,,"Teamwork, Communication, Problem Solving, Attention to Detail",Backend Developer,current_custom_dataset
Unknown,Backend Developer at Research Central,2,Unknown,English,,Teamwork,Backend Developer,adzuna_api
excel,Data Analyst Associate - no experience necessary at Newto Training,1,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"Business reporting, Bug Reporting, UI Design, Postman, API Testing, SQL",Database design,2,College,English,ISTQB Foundation,"Attention to Detail, Communication, Creativity, Problem Solving",QA Engineer,current_custom_dataset
"SIEM, Incident Response, Security Monitoring, Wireshark, Cloud security, Pandas, Monitoring, Risk Assessment",QA internship,2,Certification,German,,"Critical Thinking, Self Learning, Communication, Problem Solving",Cybersecurity Analyst,current_custom_dataset
machine learning,Senior Data & Machine Learning Engineer at Forward Role,4,Unknown,English,,Teamwork,Machine Learning Engineer,adzuna_api
"Golang, PostgreSQL, REST API, Git, Linux, CI/CD",Backend GO Developer,2,Unknown,Russian,,"Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
"Linux, CI/CD, Docker, Cloud Computing, Infrastructure as Code, Databases",Trainee,0,Unknown,English,,"Analytical Thinking, Learning Ability, Responsibility, Communication",DevOps Engineer,current_custom_dataset
"api, qa, testing",QA Engineer at Zfort Group,2,Unknown,English,,"Teamwork, Attention to Detail",QA Engineer,adzuna_api
"Selenium, CI/CD, Postman, Redis, Java, Git, SQL, Python, SIEM, Spring Boot",Frontend internship,2,Bachelor,Kazakh,TensorFlow Developer,"Leadership, Critical Thinking",Backend Developer,current_custom_dataset
"Linux, Docker, AWS, CI/CD, Nginx, Monitoring, Databases, Bash",DevOps Engineer,4,Unknown,English,,"Responsibility, Problem Solving, Analytical Thinking, Communication",DevOps Engineer,current_custom_dataset
Unknown,Mobile developer at Advance Digital Experts S.L,2,Unknown,English,,"Teamwork, Attention to Detail",Mobile Developer,adzuna_api
"Pandas, Power BI, Dashboards, Statistics, Data Cleaning, Tailwind CSS, Visualization",Data analysis projects,3,Bootcamp,Russian,Cisco CCNA,"Teamwork, Critical Thinking, Communication, Time Management",Data Analyst,current_custom_dataset
